Categoria,Jogo,Mes,Ano,Media,Ganho_Absoluto,Ganho_Porcentagem,Jogadores
HERO SHOOTERS,Overwatch 2,March,2024,26580.3,1903.2,7.71,45.666
HERO SHOOTERS,Overwatch 2,February,2024,24677.1,4524.6,22.45,41.298
HERO SHOOTERS,Overwatch 2,January,2024,20152.5,-590.1,-2.85,35.307
HERO SHOOTERS,Overwatch 2,December,2023,20742.7,6.3,0.03,38.536
HERO SHOOTERS,Overwatch 2,November,2023,20736.4,1435.0,7.43,38.886
HERO SHOOTERS,Overwatch 2,October,2023,19301.4,1438.0,8.05,37.788
HERO SHOOTERS,Overwatch 2,September,2023,17863.4,-10463.8,-36.94,33.414
HERO SHOOTERS,Overwatch 2,August,2023,28327.2,,,75.361
HERO SHOOTERS,Marvel Rivals,Last 30 Days,,63531.1,-886.4,-1.38,127.557
HERO SHOOTERS,Marvel Rivals,September,2025,64417.5,-13084.7,-16.88,131.528
HERO SHOOTERS,Marvel Rivals,August,2025,77502.2,-5322.9,-6.43,149.457
HERO SHOOTERS,Marvel Rivals,July,2025,82825.1,3019.3,3.78,162.931
HERO SHOOTERS,Marvel Rivals,June,2025,79805.8,-22310.7,-21.85,158.539
HERO SHOOTERS,Marvel Rivals,May,2025,102116.5,-32001.7,-23.86,189.945
HERO SHOOTERS,Marvel Rivals,April,2025,134118.1,-10183.7,-7.06,315.153
HERO SHOOTERS,Marvel Rivals,March,2025,44301.9,-83697.7,-36.71,307.057
HERO SHOOTERS,Marvel Rivals,February,2025,227999.6,-78066.1,-25.51,437.272
HERO SHOOTERS,Marvel Rivals,January,2025,306065.7,26663.4,9.54,642.333
HERO SHOOTERS,Marvel Rivals,December,2024,279402.3,,,418.832
